keys,speaker,act,dialogue,information
story1_2_5_0_0,ink,ink_serious,조준 상황 직전에 대화가 있었을 것 같은 분위기로 보이는가?,
story1_2_5_0_1,client,clt_think,"글쎄요, 딱히 말이 오갈 틈은 아닌 거 같은데요.",
story1_2_5_0_2,client,clt_think,분위기 자체가 너무 빠듯한 느낌 아닌가요?,
story1_2_5_0_3,client,clt_idle_1,"마치 눈치를 채자, 본능적으로 손이 먼저 올라간 느낌이랄까요.",
story1_2_5_0_4,ink,ink_haught,주인공에게는 싸움이 예정된 게 아니라...,
story1_2_5_0_5,ink,ink_idle,갑작스럽게 벌어진 느낌이라는 것이군.,
story1_2_5_0_6,client,clt_innocent,딱 그런 느낌이죠.,
story1_2_5_0_7,client,clt_think,주인공 표정도 놀람이 먼저인 것 같고...,
story1_2_5_0_8,client,clt_idle_1,손의 움직임도 망설임보다는 반사에 가까워 보여요.,
story1_2_5_0_9,client,clt_laugh,"말 한 마디 주고받을 새 없이, 먼저 움직이는 쪽이 이기는 상황.",
story1_2_5_0_10,ink,ink_idle,"즉, 대사는 필요 없었던 거군.",
story1_2_5_0_11,ink,ink_haught,그럼 대화는 애초에 불가능했던 구도였다는 건가?,
story1_2_5_0_12,client,clt_idle_1,가능성은 낮아 보여요.,이전에 대화의 가능성 낮음
story1_2_5_0_13,client,clt_think,서로 뭔가 준비하고 마주한 게 아니라...,
story1_2_5_0_14,client,clt_innocent,적 쪽에서 기습을 시도했고 주인공은 반사적으로 맞받아친. 그런 흐름이죠.,
story1_2_5_0_15,ink,ink_serious,"긴장도 대화도, 총성이 다 가져가버린 거군.",
story1_2_5_0_20,ink,ink_haught,"됐어, 이건 여기까지.",
story1_2_5_0_21,ink,ink_idle,그렇다면...,
