keys,speaker,act,dialogue,information
story1_4_10_0_0,ink,ink_serious,두 사람 사이의 거리... 그리고 주변 환경...,
story1_4_10_0_1,ink,ink_serious,자네 눈엔 그게 충돌 직전의 긴장을 부추기는 듯 보이나?,
story1_4_10_0_2,client,clt_innocent,그런것 같아요. 거리감이 애매하게 가까워요.,
story1_4_10_0_3,client,clt_idle_1,숨만 더 깊이 들이마셔도 긴장이 툭 하고 터질 듯한 거리라구요.,
story1_4_10_0_4,ink,ink_haught,긴장이 터질듯한 느낌의 거리라...,
story1_4_10_0_5,ink,ink_idle,오히려 멈칫할 틈조차 주지 않는 거군.,
story1_4_10_0_6,client,clt_idle_1,확실히 공간도 문제라고 느껴져요.,
story1_4_10_0_7,client,clt_think,"딱히 도망칠 구석도 없고, 외부의 개입도 기대하기 어려운 폐쇄적인 구조...",
story1_4_10_0_8,client,clt_idle_1,"밀실까진 아니지만, 심리적으로 가면 꽤나 답답한 상황이 될 것 같아요.",
story1_4_10_0_9,ink,ink_serious,"결국 둘만 남은 무대에서, 물러섬 없는 연극이 시작된 셈이군.",하이라이트 단계
story1_4_10_0_10,client,clt_panic,뭐... 무슨 연극이요?,
story1_4_10_0_11,ink,ink_panic,"아니네, 됐네...",
story1_4_10_0_12,client,clt_think,총성은 아직 안 울렸지만...,
story1_4_10_0_13,client,clt_innocent,이미 공기 중엔 충돌의 매캐한 냄새가 돌고 있어요.,
story1_4_10_0_14,ink,ink_panic,뭐... 뭔 냄새?,
story1_4_10_0_15,client,clt_panic,아... 아니에요...,
story1_4_10_0_16,ink,ink_haught,"음... 됐어, 이건 여기까지.",
story1_4_10_0_17,ink,ink_idle,그렇다면...,
