keys,speaker,act,dialogue,information
story1_1_5_0_0,ink,ink_serious,저 둘 사이에 곧 마찰이 있을 법한 기류가 흘렀는가?,
story1_1_5_0_1,client,clt_think,직접적으로는 모르겠지만...,
story1_1_5_0_2,client,clt_think,"말은 안 해도 그 표정, 그 여유...",
story1_1_5_0_3,client,clt_idle_1,일부러 약 올리듯이 움직이는 것 같네요.,
story1_1_5_0_4,client,clt_think,싸움을 걸려던 게 아닐까요?,전투의 분위기
story1_1_5_0_5,ink,ink_idle,주인공은 그런 도발에 반응하는 듯 하나?,
story1_1_5_0_6,client,clt_idle_1,고개는 살짝 돌렸지만...,
story1_1_5_0_7,client,clt_innocent,눈은 정확하게 그 실루엣을 겨냥하네요.,
story1_1_5_0_8,client,clt_idle_1,그냥 스쳐가는 시선이 아닌 것 같아요.,
story1_1_5_0_9,client,clt_laugh,"""저 녀석은 뭐지""라고 눈빛에 다 드러나 있다구요.",
story1_1_5_0_10,ink,ink_idle,실루엣 쪽은?,
story1_1_5_0_11,client,clt_laugh,"벽에 느긋하게 기대 있고, 웃고 있어요.",
story1_1_5_0_12,client,clt_idle_1,일부러 기다리고 있었다는 인상도 살짝 풍기고요.,
story1_1_5_0_13,ink,ink_haught,그럼 주인공 입장에선 불청객을 만난 셈이겠군.,
story1_1_5_0_14,client,clt_think,"자기만의 구역인데, 거기에 누군가 먼저 와 있었다니...",
story1_1_5_0_15,client,clt_innocent,그 자체로 주인공에겐 의문스러웠을 거예요.,
story1_1_5_0_16,client,,그래서 그 눈빛이 더 날카로웠던 거죠.,
story1_1_5_0_17,ink,ink_haught,"됐어, 이건 여기까지.",
story1_1_5_0_18,ink,ink_idle,그렇다면...,
