keys,speaker,act,dialogue,information
story1_0_7_0_0,ink,ink_serious,주인공의 표정이나 눈빛에서 감정의 동요가 보였나?,
story1_0_7_0_1,client,clt_think,흠... 감정이라...,
story1_0_7_0_2,client,clt_idle_1,"솔직히 말씀드리자면, 단 1도 보이지 않아요.",
story1_0_7_0_3,client,clt_think,눈빛이 흔들리는 순간도 없었고.,
story1_0_7_0_4,client,clt_idle_1,표정엔 그 어떠한 망설임도 없어 보여요.,
story1_0_7_0_5,ink,ink_haught,냉정했다... 이건가?,
story1_0_7_0_6,client,clt_panic,"아니요, 그보다 더 하죠.",
story1_0_7_0_7,client,clt_think,마치 이미 수없이 같은 상황을 겪어본 사람처럼,
story1_0_7_0_8,client,clt_idle_1,기계적으로... 오직 목표만을 바라보는 눈이었어요.,
story1_0_7_0_9,ink,ink_idle,감정은 배제한 채...,
story1_0_7_0_10,ink,ink_serious,목표는 단 하나 제압이 아닌 제거를 노리고 있다는 것이군.,목표는 제거
story1_0_7_0_11,client,clt_innocent,바로 그거!,
story1_0_7_0_12,client,clt_laugh,"주인공은 이 순간, 사람을 본 게 아니라 위협을 본 거예요.",
story1_0_7_0_13,client,clt_idle_1,그리고 거기에 딱 맞는 반응을 선택한 거죠.,
story1_0_7_0_14,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_7_0_15,ink,ink_idle,그렇다면...,
