keys,speaker,act,dialogue,information
story1_1_11_0_0,ink,ink_serious,실루엣의 등장 방식이 은밀한 접근처럼 느껴지는가?,
story1_1_11_0_1,client,clt_panic,"예, 뭐랄까...",
story1_1_11_0_2,client,clt_idle_1,이미 그림자 속에 숨어있네요.,
story1_1_11_0_3,client,clt_think,뭐 때문에 그런 거죠?,
story1_1_11_0_4,ink,ink_serious,아니... 주인공과 실루엣의 거리를 보게.,
story1_1_11_0_5,client,clt_think,어...,
story1_1_11_0_6,client,clt_panic,아니 주인공은 저걸 눈치 못 챈다구요?!,시야가 좁은 주인공
story1_1_11_0_7,ink,ink_haught,그래서 물어본 거네.,
story1_1_11_0_8,ink,ink_serious,저 상황 하나로 이 장면 자체에 대한 해석이 달라질 수 있어.,
story1_1_11_0_9,ink,ink_idle,주인공이 돌아가는 장면일 수도 있으며,
story1_1_11_0_10,ink,ink_panic,아니면 진짜 주인공이 눈치를 늦게 챈 걸 수도 있네...,
story1_1_11_0_11,client,clt_think,일단 시나리오는 주인의 행동을 미리 보여주는 거니...,
story1_1_11_0_12,client,clt_panic,"각본가님이 말한 대로, 두 가지 해석이 가능하네요.",
story1_1_11_0_13,client,clt_idle_1,그 부분을 고려해서 순서를 추리하는 게 좋겠어요.,
story1_1_11_0_14,ink,ink_panic,이 촬영장의 주인은 좀 특이하군...,
story1_1_11_0_15,ink,ink_haught,"됐어, 이건 여기까지.",
story1_1_11_0_16,ink,ink_idle,그렇다면...,
