keys,speaker,act,dialogue,information
story1_0_8_0_0,ink,ink_serious,총구가 향한 위치가 심상치 않아.,
story1_0_8_0_1,ink,ink_haught,적의 머리 아래라는 위치가 의미하는 바는 무엇일 것 같나?,
story1_0_8_0_2,client,clt_think,흠... 상당히 묘하네요...,
story1_0_8_0_3,client,clt_idle_1,머리를 노린 것이긴 한데... 정통이 아니에요.,
story1_0_8_0_4,client,clt_laugh,"딱, 아래. 저건 일종의 반격의 자세죠.",
story1_0_8_0_5,ink,ink_idle,"흠, 위에서 내려다보는 적에 대한 반사적인 대응?",
story1_0_8_0_6,client,clt_innocent,바로 그거죠.,
story1_0_8_0_7,client,clt_think,여기서 선택할 수 있는 가장 날카로운 저항 같은 느낌?,
story1_0_8_0_8,client,clt_idle_1,"무릎을 굽힌 낮은 자세에서, 단숨에 올려 쏘는 건...",
story1_0_8_0_9,client,clt_laugh,추진력을 얻겠다는 강한 의지의 표현이기도 하죠.,
story1_0_8_0_10,ink,ink_serious,"단순한 공격이 아니라, 맹수처럼 되받아 친 셈이군.",
story1_0_8_0_11,client,clt_innocent,정확하네요!,
story1_0_8_0_12,client,clt_idle_1,"그것도, 망설임 없는 맹수였어요.",
story1_0_8_0_13,client,clt_think,"본능적인 반격, 혹은 사냥꾼의 직감...",본능적인 반격
story1_0_8_0_14,client,clt_idle_1,"그 어느 쪽이든, 저건 결코 우연이 아니겠죠.",
story1_0_8_0_15,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_8_0_16,ink,ink_idle,그렇다면...,
