keys,speaker,act,dialogue,information
story1_3_5_0_0,ink,ink_serious,"자네가 보기엔... 총을 들기 전, 두 사람 사이에 대화가 있었을 법한 분위기인가?",
story1_3_5_0_1,client,clt_panic,그건 좀 애매하네요.,
story1_3_5_0_2,client,clt_idle_1,공기 자체는 긴장감으로 꽉 차 있었는데...,
story1_3_5_0_3,client,clt_panic,말이 오갔는진 확신이 안 서요.,
story1_3_5_0_4,client,clt_think,주인공의 표정에 놀람이 섞여 있었던 걸 보면...,
story1_3_5_0_5,client,clt_idle_1,아무런 신호 없이 공격받았을 수도 있고요.,
story1_3_5_0_6,ink,ink_haught,완전히 기습이라고 단정하긴 어렵다고 보나?,
story1_3_5_0_7,client,clt_think,둘 사이에 짧은 눈빛 교환 정도는 있었을 수도 있고...,눈빛 교환 정도
story1_3_5_0_8,client,clt_idle_1,"뭐, 그 찰나에 뭔가 의미가 오간 걸 수도 있죠.",
story1_3_5_0_9,client,clt_panic,"근데 말 그대로 느낌이라서, 명확하진 않아요.",
story1_3_5_0_10,ink,ink_panic,"그렇다면, 대화가 있었을 수도, 없었을 수도 있다는 거군.",
story1_3_5_0_11,client,clt_panic,그 순간이 너무 빠르고 팽팽해서요.,
story1_3_5_0_12,client,clt_think,"총성이 먼저였는지, 말이 먼저였는지...",
story1_3_5_0_13,client,clt_idle_1,그건 장면 밖의 여백에 묻혀 있는 듯해요.,대화의 애매함
story1_3_5_0_14,ink,ink_haught,"됐어, 이건 여기까지.",
story1_3_5_0_15,ink,ink_idle,그렇다면...,
