keys,speaker,act,dialogue,information
story1_4_4_0_0,ink,ink_serious,자네가 보기엔 두 사람이 서로를 알아보는 듯한 기색이 있는 느낌인가?,
story1_4_4_0_1,client,clt_think,흠... 그 부분은 조금 흥미로운 부분이네요.,
story1_4_4_0_2,client,clt_panic,실루엣이라 얼굴이 또렷하진 않아서 확실하진 않지만...,
story1_4_4_0_3,client,clt_idle_1,그래도 주인공의 시선은 어딘가 낯설고 경계하는 쪽이에요.,
story1_4_4_0_4,client,clt_innocent,마치 처음 보는 인물에게서 기이한 위압을 느꼈다는 듯이요.,
story1_4_4_0_5,ink,ink_haught,"반면, 그 상대는 어떤 느낌이었나?",
story1_4_4_0_6,client,clt_innocent,"글쎄요, 거기엔 좀 다른 느낌이네요.",
story1_4_4_0_7,client,clt_think,상대 쪽은... 어둠 속에서도 주인공을 정확히 겨냥하고 있는 느낌이랄까...,
story1_4_4_0_8,client,clt_laugh,"방아쇠를 당기진 않았지만, 마치 찾았다는 기분이 앞선 사람처럼요.",적은 정확히 적을 겨냥
story1_4_4_0_9,ink,ink_idle,"둘 다 서로를 아는 건 아닌데, 한쪽만 알고 있는 듯한 느낌이라는 것인가?",
story1_4_4_0_10,client,clt_idle_1,주인공은 누구인지 몰라 당황하고...,
story1_4_4_0_11,client,clt_idle_1,상대는 누군지를 너무 잘 알아서 태연한 듯 보여요.,
story1_4_4_0_12,client,clt_think,묘하게 기울어진 인연 같달까요.,
story1_4_4_0_13,ink,ink_serious,"그럼... 주인공은 의심하고, 상대는 확신하고 있었던 셈이군.",
story1_4_4_0_14,client,clt_think,두 사람 사이의 기류는 확실히 비대칭적이었어요.,
story1_4_4_0_15,client,clt_innocent,"감정의 진폭이, 아주 다르게 움직이고 있네요.",
story1_4_4_0_16,ink,ink_haught,"됐어, 이건 여기까지.",
story1_4_4_0_17,ink,ink_idle,그렇다면...,
