keys,speaker,act,dialogue,information
story1_3_6_0_0,ink,ink_serious,자네가 보기엔 상대가 등장하자마자 바로 조준한 것처럼 보이나?,
story1_3_6_0_1,client,clt_idle_1,어... 그렇게 보이긴 하네요.,
story1_3_6_0_2,client,clt_think,망설임 같은 건 눈곱만큼도 보이지 않는 표정인데요?,
story1_3_6_0_3,client,clt_idle_1,"상대가 시야에 들어오자마자, 마치 미리 준비를 한 것처럼 팔이 움직인 것 같아요.",
story1_3_6_0_4,client,clt_innocent,솔직히 반사적인 동작이라기엔 너무 정교한 거 같기도 하구요.,
story1_3_6_0_5,ink,ink_haught,"그럼, 갑작스러운 상황에 놀라서 반응했다기보단...",
story1_3_6_0_6,ink,ink_idle,오히려 기다리고 있었던 것 같다는 것이군.,기다리고 있었음
story1_3_6_0_7,client,clt_innocent,"그리고 오자마자, 예상했다는 듯이 조준했던 거죠.",
story1_3_6_0_8,client,clt_idle_1,타깃이 화면에 뜨자마자 버튼 누르는 느낌? 그런 느낌이에요.,
story1_3_6_0_9,ink,ink_haught,적에 대한 정보가 사전에 있었단 말로 들리는군.,
story1_3_6_0_10,client,clt_think,확실히요. 저건 누굴 향한 조준이라기보단...,
story1_3_6_0_11,client,clt_idle_1,그 사람 자체가 목표처럼 설정돼 있는 느낌이죠.,
story1_3_6_0_12,client,clt_idle_1,"어쩌면 협박하는 게 목적이 아니라, 공격이 목적이었을지도 몰라요.",
story1_3_6_0_13,ink,ink_serious,그러면... 조준이 경고일 가능성은 어떤가?,
story1_3_6_0_14,client,clt_idle_1,경고치곤 너무 정적으로 보여요.,
story1_3_6_0_15,client,clt_laugh,하지만 총구의 방향은 분명한 느낌이에요.,
story1_3_6_0_16,ink,ink_haught,"됐어, 이건 여기까지.",
story1_3_6_0_17,ink,ink_idle,그렇다면...,
