keys,speaker,act,dialogue,information
story1_2_3_0_0,ink,ink_serious,"자네가 생각하기엔 총을 겨누는 자세는 익숙한가, 어색한가?",
story1_2_3_0_1,client,clt_think,자세가 흐트러짐 없이 정확한 것을 보아하니...,
story1_2_3_0_2,client,clt_idle_1,주인공에게 있어서 상당히 익숙해 보이네요.,
story1_2_3_0_3,client,clt_panic,그 외에는 총기에 조예가 없어서 잘 모르겠네요...,
story1_2_3_0_4,ink,ink_serious,총과 사격 자세를 보게나.,
story1_2_3_0_5,client,clt_think,총은...,
story1_2_3_0_6,client,clt_idle_1,회전식... 권총이네요.,
story1_2_3_0_7,client,clt_innocent,크기도 상당히 크구요.,
story1_2_3_0_8,ink,ink_idle,그래. 상당히 무거운 총이야.,
story1_2_3_0_9,ink,ink_haught,"리볼버 중에서도, 큰 탄환을 사용하는 종류 같고.",
story1_2_3_0_10,client,clt_idle_1,반동이 상당히 크겠군요.,
story1_2_3_0_11,ink,ink_idle,사격자세도 보면 원 핸드 방식이야.,
story1_2_3_0_12,ink,ink_haught,저 무겁고 반동도 큰 총을 한 손으로 들고 쏜다는 것은...,
story1_2_3_0_13,client,clt_think,주인공은 저 자세에 상당히 익숙하겠다는 것이군요.,
story1_2_3_0_14,ink,ink_haught,그렇긴 한데... 명중률이 상당히 낮을 걸세.,
story1_2_3_0_15,client,clt_innocent,그렇다면 처음 쏘는 탄환만 적중할 확률이 높고요.,초탄의 명중률만 높음
story1_2_3_0_16,ink,ink_serious,정확하네.,
story1_2_3_0_17,ink,ink_haught,"됐어, 이건 여기까지.",
story1_2_3_0_18,ink,ink_idle,그렇다면...,
