keys,speaker,act,dialogue,information
story1_0_11_0_0,ink,ink_serious,이 자세와 구도는 주도권이 누구에게 있는지를 암시하는 것 같나?,
story1_0_11_0_1,client,clt_laugh,"하하, 그건 딱 봐도 보이지 않나요?",
story1_0_11_0_2,client,clt_innocent,주인공이잖아요!,
story1_0_11_0_3,ink,ink_anger,난 자네의 자세한 생각이 듣고 싶은 거네!,
story1_0_11_0_4,client,clt_think,낮은 자세에서 적의 머리 아래로 조준하고 있다는 건...,
story1_0_11_0_5,client,clt_idle_1,위치적으로도 심리적으로도 완전히 위를 잡았다는 뜻이죠.,
story1_0_11_0_6,client,clt_idle_1,상대는 반응할 틈도 없이 당하고 있는 상황이고요.,주도권은 주인공에게
story1_0_11_0_7,ink,ink_serious,그래 바로 그거야.,
story1_0_11_0_8,ink,ink_idle,"조준선도, 시선도... 전부 주인공에게 쏠려 있어.",
story1_0_11_0_9,ink,ink_haught,게다가 저 냉정한 표정이라니...,
story1_0_11_0_10,ink,ink_idle,이건 흐름이 완전 넘어왔다고 밖에 설명이 안 되는군.,
story1_0_11_0_11,client,clt_innocent,확실히 그렇죠.,
story1_0_11_0_12,client,clt_idle_1,저런 냉정함은 자신감 없이는 나올 수 없어요.,
story1_0_11_0_13,client,clt_innocent,이 상황은 이미 주인공이 완전히 장악한 기분이에요.,
story1_0_11_0_14,client,clt_laugh,"적은... 순간, 자기가 어떻게 당했는지도 모르는 얼굴 같네요.",
story1_0_11_0_15,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_11_0_16,ink,ink_idle,그렇다면...,
