keys,speaker,act,dialogue,information
story1_4_7_0_0,ink,ink_serious,총구를 겨누는 와중에도 대화가 오갔을 법한 분위기인가?,
story1_4_7_0_1,client,clt_idle_1,분명히 말이 오갔을 거예요.,
story1_4_7_0_2,client,clt_laugh,방아쇠에 손가락을 얹고 있으면서도... 입은 잠시 열려 있었겠죠.,
story1_4_7_0_3,ink,ink_haught,서로 죽일 기세로 겨누고선 말을 한 다라?,
story1_4_7_0_4,ink,ink_idle,꽤나 묘한 조합이군.,
story1_4_7_0_5,client,clt_innocent,그렇죠. 하지만 그 묘한 긴장이 오히려 대화를 강제했을지도요.,
story1_4_7_0_6,client,clt_think,"알을 먼저 꺼낸 쪽이더라도, 상대의 반응을 살피는 여유...",
story1_4_7_0_7,client,clt_innocent,"말 한마디로 상황을 흔들어보려는 시도, 그런 기운이 느껴요.",대화는 이전에
story1_4_7_0_8,ink,ink_serious,"협상인가, 도발인가...",
story1_4_7_0_9,ink,ink_idle,정확한 뉘지는 알 수 없지만...,
story1_4_7_0_10,ink,ink_haught,어감상 서로를 시험하는 말들이겠군.,
story1_4_7_0_11,client,clt_think,확신보다 확인의 느낌이 들어요.,
story1_4_7_0_12,client,clt_laugh,"총은 겨누되, 아직 끝장을 낼 타이밍은 아니었다... 그렇게 생각해요.",
story1_4_7_0_13,ink,ink_haught,"됐어, 이건 여기까지.",
story1_4_7_0_14,ink,ink_idle,그렇다면...,
