keys,speaker,act,dialogue,information
story1_2_11_0_0,ink,ink_serious,주인공이 맞은 총알은 정면에서 날아온 것으로 보이는가?,
story1_2_11_0_1,client,clt_idle_1,총알이 날아온 방향은 정면이 맞는 것 같아요.,
story1_2_11_0_2,client,clt_think,피격 부위나 반응을 보면...,
story1_2_11_0_3,client,clt_idle_1,바로 눈앞에서 발사된 걸로 보이네요.,총알은 정면에서
story1_2_11_0_4,ink,ink_serious,확실히 뒤나 옆에서 날아온 건 아닐 가능성이 높군.,
story1_2_11_0_5,ink,ink_haught,만약 측면이었다면 자세나 표정이 다르게 나왔을 것 같고 말이야.,
story1_2_11_0_6,client,clt_idle_1,"지금은... 놀라긴 했지만, 정면을 바라보며 맞은 듯한 인상이 강해요.",
story1_2_11_0_7,ink,ink_haught,그렇다면 서로 마주 보고 있는 상황에서 먼저 맞은 거군.,
story1_2_11_0_8,client,clt_idle_1,그렇게 보이네요.,
story1_2_11_0_9,client,clt_think,"주인공도 총을 겨누고 있었던 만큼, 상대도 이미 조준하고 있었던 거죠.",
story1_2_11_0_10,client,clt_idle_1,누가 먼저 쏘느냐의 차이였고...,
story1_2_11_0_11,client,clt_innocent,그 순간 주인공이 한발 늦은 거죠.,
story1_2_11_0_12,ink,ink_idle,확실히... 그래 보이는군.,
story1_2_11_0_13,ink,ink_haught,"좋아 됐어, 이건 여기까지.",
story1_2_11_0_14,ink,ink_idle,그렇다면...,
