keys,speaker,act,dialogue,information
story1_0_2_0_0,ink,ink_serious,자네 눈엔 이게 적도 예상하고 있었던 상황처럼 보이나?,
story1_0_2_0_1,client,clt_panic,"음, 그렇진 않은 것 같아요.",
story1_0_2_0_2,client,clt_idle_1,그것보다는 느릿하게 현실을 따라잡은 느낌이랄까요.,
story1_0_2_0_3,client,clt_think,주인공이 낮게 파고들며 조준한 그 순간...,
story1_0_2_0_4,client,clt_idle_1,적은 뒤늦게 상황을 파악한 것 같아요.,
story1_0_2_0_5,ink,ink_panic,이 장면에서 적의 눈빛을 볼 수 있는건가? 자네는?,
story1_0_2_0_6,client,clt_idle_1,"정확히 그렇진 않아도, 고개를 아주 살짝 뒤로 젖힌 모양새가 보이네요.",
story1_0_2_0_7,client,clt_think,"마치, 이런 식으로 들어올 줄은 몰랐다는 당혹감...",당황한 적
story1_0_2_0_8,client,clt_innocent,뭐... 그런 것이죠.,
story1_0_2_0_9,ink,ink_haught,"예상은 못 했지만, 반응은 있었단 말이지.",
story1_0_2_0_10,client,clt_think,아예 무방비한 상태는 아니었고...,
story1_0_2_0_11,client,clt_innocent,단지 그 타이밍이 의외였던 거 아닐까요?,의외의 타이밍
story1_0_2_0_12,client,clt_panic,"마치 체스를 두다가, 상대가 의외의 수를 두었을 때처럼요.",
story1_0_2_0_13,ink,ink_serious,확실히 그렇군...,
story1_0_2_0_14,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_2_0_15,ink,ink_idle,그렇다면...,
