keys,speaker,act,dialogue,information
story1_4_1_0_0,ink,ink_serious,두 사람의 표정에서 피로감이나 상처 같은 게 보이진 않나?,
story1_4_1_0_1,client,clt_panic,"음... 둘 다 말은 없지만, 분위기 자체가 꽤 묘해요.",
story1_4_1_0_2,client,clt_think,특히 한쪽은요. 눈동자가 또렷하긴 한데...,
story1_4_1_0_3,client,clt_idle_1,아주 짧은 순간 정말 짧게 무언가를 참고 지나간 사람처럼 보였어요.,
story1_4_1_0_4,client,clt_innocent,숨을 고르는 찰나인 것 같거든요.,숨을 고르는 찰나
story1_4_1_0_5,ink,ink_haught,숨을 고른다라...,
story1_4_1_0_6,ink,ink_idle,"그건 감정 때문일 수도 있고, 몸 때문일 수도 있겠군.",
story1_4_1_0_7,client,clt_innocent,"네, 딱 그 사이에 있는 느낌이에요.",
story1_4_1_0_8,client,clt_think,겉으로는 태연한 척하지만...,
story1_4_1_0_9,client,clt_idle_1,안에서는 이미 뭔가 한차례 겪은 느낌이에요.,
story1_4_1_0_10,client,clt_think,그렇게 크게 드러나진 않았지만...,
story1_4_1_0_11,client,clt_idle_1,약간 굳어진 턱 선이나 미세하게 무거운 호흡 같은 게 그런 게 보여요.,
story1_4_1_0_12,ink,ink_serious,"누가 먼저 그걸 알아채느냐에 따라, 총구의 무게가 달라지겠군.",
story1_4_1_0_13,client,clt_laugh,이미 한 쪽은 한발 앞서서 상처 하나쯤 감춘 채로 서 있는지도 모르죠.,
story1_4_1_0_14,ink,ink_haught,"됐어, 이건 여기까지.",
story1_4_1_0_15,ink,ink_idle,그렇다면...,
