keys,speaker,act,dialogue,information
story1_4_8_0,ink,ink_serious,"이 장면 감정이 제법 고조되어 있는 듯한데, 자네 눈엔 어떤가?",
story1_4_8_1,ink,ink_serious,결말에 가까운 무언가처럼 느껴지지 않나?,
story1_4_8_2,client,clt_think,"흐음, 딱 꼬집어 말하긴 어렵지만...",
story1_4_8_3,client,clt_idle_1,확실히 공기가 무거워요.,
story1_4_8_4,client,clt_think,단순한 충돌 이상이랄까...,
story1_4_8_5,client,clt_innocent,말보다 행동이 먼저 앞질러간 상태랄까요.,
story1_4_8_6,ink,ink_haught,이게 무슨 감정의 축적 끝이라는 느낌인가?,
story1_4_8_7,client,clt_think,적에게는 여태껏 꾹 참고 버텨왔던 감정들이...,
story1_4_8_8,client,clt_idle_1,마침내 선을 넘어버린 순간 같달까요.,
story1_4_8_9,client,clt_innocent,"조준이 단순한 경계가 아니라, 감정 그 자체처럼 보이더라고요.",조준은 감정
story1_4_8_10,ink,ink_serious,그럼 이 둘 사이에 있었던 게...,
story1_4_8_11,ink,ink_haught,이제 끝을 향하고 달려가고 있는 건가?,
story1_4_8_12,client,clt_idle_1,어쩌면요. 이 조우 자체가 예정된 게 아니라면...,
story1_4_8_13,client,clt_innocent,적어도 피할 수 없는 방향으로 굴러가고 있다는 건 분명해 보였어요.,
story1_4_8_14,ink,ink_haught,"됐어, 이건 여기까지.",
story1_4_8_15,ink,ink_idle,그렇다면...,
