keys,speaker,act,dialogue,information
story1_0_0_0_0,ink,ink_serious,"자네, 왜 주인공이 굳이 저렇게 낮은 자세를 택했을 것 같나?",
story1_0_0_0_1,ink,ink_idle,그냥 정면에서 겨눴어도 될 것 같은데 말이야.,
story1_0_0_0_2,client,clt_think,저 자세... 단순히 낮은 자세는 아닌 것 같아요.,
story1_0_0_0_3,client,clt_idle_1,무릎을 낮춘다는 건 시야를 바꾼다는 의미이기도 하니까요,
story1_0_0_0_4,client,clt_think,마치 아래에서 치고 올라오는 움직임...,
story1_0_0_0_5,client,clt_innocent,기습을 하려는게 아닐까요?,
story1_0_0_0_6,ink,ink_haught,"음... 그러니까, 바로 전에 뭔가가 있었을 수도 있다는 말이군.",
story1_0_0_0_7,client,clt_panic,물론 이 장면만 보면 갑자기 왜 저러지? 싶을 수도 있겠지만...,
story1_0_0_0_8,client,clt_idle_1,하지만 적의 머리 아래로 조준하는 구도잖아요?,
story1_0_0_0_9,client,clt_think,그게 의도적으로 약점을 찌르는게 아닐까 싶어서...,
story1_0_0_0_10,client,clt_idle_1,"주인공이 수세에 몰려 있다가, 틈을 보고 들어간 상황일지도요.",수세에 몰린 주인공
story1_0_0_0_11,ink,ink_haught,아니면... 이 자세가 상대에게 압박을 주기 위한 연출일 수도 있겠군.,
story1_0_0_0_12,ink,ink_idle,"말하자면, 머리 위에 총이 있다는 걸 아주 확실하게 보여주는 것이지.",
story1_0_0_0_13,client,clt_think,"그럴 수도 있죠. 위압감, 긴장감... 그리고 혹시 모를 반격까지 대비한 움직임...",
story1_0_0_0_14,client,clt_think,이 장면만으로는 추측일 뿐이지만...,
story1_0_0_0_15,client,clt_idle_1,저 낮은 자세엔 꽤 많은 계산이 담겨 있는 것 같아요,
story1_0_0_0_16,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_0_0_17,ink,ink_idle,그렇다면...,
